id,name,created_at,updated_at
1,Harness Ubiquitous Partnerships - Taylor-Bennett,2022-04-17 12:18:08.474202,2025-01-13 18:09:30.171230
2,Mesh Extensible Solutions - Wise LLC,2022-09-13 01:36:04.062492,2025-01-21 21:13:40.408818
3,Incubate Dynamic Models - Peterson PLC,2023-06-08 13:54:29.009801,2025-01-21 17:10:14.074538
4,"Harness Collaborative Applications - Schroeder, Lucas and Ware",2023-07-18 23:45:43.701821,2025-01-18 14:09:32.818476
5,"Seize Enterprise Applications - Reynolds, Reed and Lowery",2025-01-15 04:00:22.709020,2025-01-01 23:12:24.927465
6,Streamline Scalable E-Services - Burns-Roberts,2021-06-15 15:35:06.202906,2025-02-02 06:37:35.718034
7,Leverage Proactive Paradigms - Winters Ltd,2023-09-26 00:28:43.230961,2025-01-01 19:55:37.313827
8,Drive Virtual E-Tailers - Goodman-Franco,2021-08-10 04:28:15.782449,2025-01-20 08:23:37.830330
9,Generate Synergistic Info-Mediaries - Brown LLC,2024-06-24 22:13:22.185630,2025-01-18 10:33:55.487875
10,Facilitate Wireless Functionalities - Mills-Hammond,2021-06-02 01:23:31.202796,2025-01-31 23:46:51.768609
