id,movement_id,product_id,quantity,created_at,updated_at
1,10915,3401,55214,2024-05-14 08:28:07.397408,2025-01-09 15:36:34.690643
2,5657,6935,94341,2021-03-08 23:47:04.430947,2025-01-30 01:25:39.075044
3,22083,9432,45321,2024-06-11 14:18:30.453786,2025-01-18 04:27:53.192397
4,52343,9711,38946,2023-08-07 22:48:31.463591,2025-01-24 20:53:35.993366
5,35014,1295,50909,2023-09-03 23:10:11.666111,2025-01-31 04:47:46.641411
6,33516,3421,35118,2022-05-06 07:33:58.288894,2025-01-14 04:09:29.075257
7,35218,10285,16748,2024-07-27 21:00:26.596089,2025-01-27 08:05:22.140208
8,29279,1733,81849,2021-09-13 08:53:52.742758,2025-01-10 14:17:03.048921
9,25232,1420,36483,2024-06-10 17:39:54.491201,2025-01-23 09:05:54.156171
10,10032,88,50306,2022-12-16 06:32:58.687680,2025-01-12 01:42:35.097115
11,16492,5847,22144,2020-05-01 10:40:50.614803,2025-01-05 04:41:59.961523
12,50363,4866,20347,2023-05-11 00:04:12.696607,2025-01-12 08:34:53.775372
13,30495,9925,64683,2024-04-22 02:35:44.845790,2025-01-05 14:12:38.931441
14,59709,1398,75576,2020-08-03 04:47:14.713053,2025-01-25 04:55:38.595212
15,47686,2837,50212,2021-08-26 12:49:12.294640,2025-01-16 22:24:34.408496
16,2585,9185,40060,2020-02-01 08:59:14.983420,2025-01-04 17:22:55.640785
17,53180,1325,75323,2023-10-27 10:22:45.625968,2025-01-31 14:25:23.656087
18,52528,3713,961,2023-08-10 04:00:37.635417,2025-01-22 06:02:51.697041
19,38575,5938,13157,2022-11-14 18:12:58.109517,2025-01-01 16:20:47.707617
20,34180,9420,49889,2022-11-06 08:48:39.658251,2025-01-26 10:48:52.568602
21,34609,5320,74576,2022-11-21 12:41:57.400357,2025-01-16 12:26:40.162785
22,19896,1480,82726,2022-03-20 05:18:29.262013,2025-01-25 04:44:35.130149
23,21770,7024,46539,2022-01-07 04:27:07.274970,2025-01-01 07:18:01.055684
24,12022,6932,8882,2022-02-19 08:55:27.256760,2025-01-13 23:47:05.372028
25,39260,9933,25416,2020-10-14 03:41:18.268797,2025-01-17 04:53:55.552428
26,29945,5752,69440,2022-07-16 03:40:01.161306,2025-01-14 06:09:04.090457
27,20744,4154,46139,2020-09-14 21:58:28.891091,2025-01-08 11:11:41.723962
28,52293,2480,48455,2023-03-05 11:10:48.873139,2025-01-19 14:59:15.206718
29,40687,7220,80586,2022-02-14 05:27:16.068197,2025-01-25 02:40:02.115503
30,43827,8736,51310,2024-11-27 08:37:38.683201,2025-01-10 11:31:53.739580
31,51675,2196,85438,2024-07-11 22:53:45.813730,2025-02-02 09:27:02.958798
32,7524,1005,89709,2020-07-16 22:47:06.725995,2025-01-05 08:16:53.510067
33,31340,92,39880,2022-04-13 21:37:00.599919,2025-01-04 06:44:27.944395
34,54070,8194,10194,2024-11-02 08:12:27.208184,2025-01-18 05:10:43.578580
35,25750,9200,84202,2020-02-04 17:53:12.940662,2025-01-05 11:12:01.168108
36,52545,8294,53338,2023-02-26 02:03:11.916910,2025-01-23 00:24:53.452801
37,39078,4356,53427,2021-12-07 04:16:57.820621,2025-01-21 05:26:21.185249
38,36189,841,17275,2022-10-28 06:37:47.125698,2025-01-06 09:22:45.517406
39,15227,4407,5301,2024-01-17 03:47:00.588569,2025-01-18 00:02:58.017263
