id,sku,name,description,price,slug,category_id,active,created_at,updated_at
1,SZR-7250,Innovative Aluminum Bottle,"Yourself child mission road. Season later interview. Safe financial continue war apply.
Two direction toward character though western theory. Challenge carry heavy answer.",552757149,innovative-aluminum-bottle,6,True,2024-04-05 13:12:04.347584,2025-01-05 15:56:08.976367
2,EGT-8107,Premium Wooden Headphones,"Man action bill magazine. One one answer western mother listen cold.
Part call develop. Student interview actually return do trade though. Entire affect short father man yes.",649398428,premium-wooden-headphones,23,False,2020-02-03 18:11:46.815218,2025-01-05 01:37:55.184392
3,FEK-6140,Stylish Plastic Phone,"View cause boy reality throughout out. Again subject sense chair resource me.
Property strategy source position each arm let create. Buy lead employee write memory.",542395047,stylish-plastic-phone,25,True,2024-02-24 21:21:38.710640,2025-01-12 16:25:37.130002
4,UNS-6570,Premium Ceramic Laptop,"Owner use art.
Recently must agreement. Natural training science same state occur.
Everybody forget book north case agent sometimes.
Local realize call push away. Young community evening matter.",142259806,premium-ceramic-laptop,21,True,2024-07-13 12:51:16.419115,2025-02-01 17:35:50.148571
5,TWY-5611,Compact Glass Table,"Site court mention how campaign return might second.
Pretty point yard true eye. Professor discuss option kid billion travel. Cultural piece season marriage international friend.",121872833,compact-glass-table,40,True,2020-04-14 05:56:03.310666,2025-01-14 13:18:23.719609
6,XHB-7796,Durable Aluminum Chair,"Test itself system bag share.
So father might summer energy story. Month forget table old your. Hear they court material commercial choose three.
Which onto single service style.",594507539,durable-aluminum-chair,11,False,2022-12-31 02:43:29.360785,2025-01-28 12:32:54.068398
7,XWA-6962,Portable Wooden Shoes,"Stop wall set probably nice our color. Truth travel market wall oil five federal hand. Nice right life black special.
Because though never fill.",244288562,portable-wooden-shoes,39,True,2022-07-24 07:23:08.772758,2025-01-24 04:56:28.836335
8,OBN-7684,Stylish Steel Shoes,"American model chance eight language read.
Compare national total industry power newspaper life. Lead challenge people reason garden seat parent site.",117855476,stylish-steel-shoes,10,True,2020-05-11 00:06:59.063496,2025-01-15 12:59:12.727509
9,WYM-5536,Durable Glass Backpack,"Myself ever recently none Mrs man. Entire pretty land check its change drive. Bill sound not song something.
Future meeting pay three. Yeah left time serve. Play mother but common.",796495401,durable-glass-backpack,43,True,2022-11-17 05:38:07.484059,2025-01-27 14:09:33.478185
10,EXQ-7105,Compact Ceramic Backpack,"Worker stuff possible space itself exactly.
City mean determine strategy require shoulder. Know cause thus sport.",956222544,compact-ceramic-backpack,2,True,2020-08-30 02:03:37.622593,2025-01-23 14:58:59.889933
11,ECK-6912,Awesome Wooden Headphones,Stock politics wonder catch energy remain. Surface put arrive. Because remain minute another audience deep science.,981972124,awesome-wooden-headphones,13,False,2020-05-26 15:10:19.936444,2025-01-14 16:27:07.358347
12,NSV-5379,Durable Ceramic Headphones,"Cause away attention increase attention trade word mean. Author director American own.
Produce tonight support fast get adult hold. Owner natural red grow.",566926847,durable-ceramic-headphones,4,True,2021-10-18 10:48:40.840636,2025-02-01 17:43:41.113153
13,XRY-4332,Innovative Aluminum Table,"Section information small able. Board interesting fear school.
This close should analysis. Hand finally laugh relationship.
Third rule still. Wonder central book popular should.",921209517,innovative-aluminum-table,47,False,2024-04-08 13:47:50.832598,2025-02-03 22:16:48.174464
14,CSM-1896,Compact Ceramic Laptop,"Especially leg theory home probably. Deep lose share else station woman open.
Become campaign still city. Either west radio authority produce.",683825255,compact-ceramic-laptop,30,False,2020-06-12 01:27:58.894910,2025-01-08 11:45:12.234159
15,CLN-2947,Awesome Rubber Table,"Center consider than various network southern if. Loss medical cover either mind.
Answer message heavy chair worry.",364144039,awesome-rubber-table,47,False,2023-11-26 05:13:46.281022,2025-01-26 03:25:58.466623
16,DRN-6670,Durable Plastic Table,"Reach reduce east race government single social. So build many health pull. Choose old activity detail.
Goal thing her thank like yes. Dark hair writer. Better population door despite over save.",990993397,durable-plastic-table,29,True,2022-09-14 09:43:17.449869,2025-01-23 02:11:23.299666
17,FSM-5741,Awesome Plastic Phone,"Actually image near into stuff executive.
Wrong attack race money story how whom. Ground education from choose.",415709089,awesome-plastic-phone,24,False,2024-02-13 14:56:17.153319,2025-01-23 10:17:30.303267
18,DWJ-1898,Innovative Ceramic Chair,"Term beat call unit series. Popular trial home treat nor cover.
Article in matter quickly run international argue. Option get include expert family positive.",990242747,innovative-ceramic-chair,19,False,2023-08-17 22:32:18.176129,2025-01-05 13:48:22.387558
19,DYB-7743,Innovative Steel Laptop,Save box human dinner report hot special. Key coach likely sort especially civil collection there. Time whose here.,341070929,innovative-steel-laptop,45,False,2023-12-31 13:00:13.322613,2025-01-11 19:35:41.765859
20,FDP-6999,Innovative Steel Phone,Figure air free brother far lot up. Current since decide they thank despite. Interesting area site before significant administration recent despite.,685436581,innovative-steel-phone,34,False,2024-08-22 06:20:24.782178,2025-01-15 02:10:52.994379
21,ZUC-2164,Awesome Ceramic Chair,"Together ten how paper bag. Among difficult be must less history wait skill.
Agency practice case garden say. Throughout wife on opportunity. Economic management peace not to.",544657656,awesome-ceramic-chair,45,False,2020-09-01 09:19:37.612304,2025-01-13 11:52:23.923455
22,RKG-5936,Durable Plastic Table,"Scientist whatever skill get. Full wide trouble hope while become.
Level kitchen matter west board us community. Often meet maybe role deal skill.",492488327,durable-plastic-table,40,True,2020-02-17 00:43:25.299665,2025-02-02 05:55:12.787155
