id,name,created_at,updated_at
1,West Michaelburgh,2021-07-20 04:49:49.069125,2025-01-05 17:26:13.108454
2,Gregoryfort,2020-01-22 09:55:57.307868,2025-01-17 17:59:44.686061
3,New Amber,2022-07-20 13:30:14.398050,2025-01-08 21:45:41.117991
4,Hugheshaven,2023-11-14 18:45:58.861826,2025-01-11 23:00:34.493982
5,East Georgeland,2023-03-18 21:59:15.449781,2025-01-19 12:31:53.055682
6,East Carlbury,2024-06-07 00:01:49.767766,2025-02-01 01:38:46.176461
7,Erinland,2021-04-19 20:59:33.306778,2025-01-30 10:21:29.515048
8,North Nancyfort,2023-03-06 14:00:12.250423,2025-01-09 01:42:39.501224
9,Wrightton,2022-06-25 13:48:54.623477,2025-01-18 22:37:48.757588
10,South Erin,2023-07-26 13:47:28.387672,2025-01-02 07:42:09.127180
11,Boydport,2023-04-25 10:52:33.463061,2025-01-23 20:36:00.514979
12,Ariasburgh,2022-08-12 07:45:58.476467,2025-01-25 02:32:45.874649
13,Lake Scottfort,2021-03-05 01:08:03.311231,2025-01-30 19:47:55.549742
14,Jimenezmouth,2023-07-29 18:44:58.088482,2025-02-02 03:27:39.085656
15,Hamiltonchester,2021-06-02 10:24:57.205341,2025-01-27 04:55:32.227139
16,Kerryton,2021-10-23 06:05:35.095582,2025-01-08 11:51:49.901244
17,Lake Sydney,2024-10-30 12:34:12.733274,2025-01-16 07:51:56.459898
18,Lake Steven,2021-06-07 04:15:42.239028,2025-01-17 14:25:38.182456
19,Carlsonland,2023-03-19 06:04:46.132462,2025-01-12 01:52:04.149238
20,Andersonshire,2020-04-17 05:12:45.166779,2025-01-20 18:34:15.900155
21,Kingchester,2021-04-10 03:37:31.285945,2025-02-01 22:40:51.147585
22,East Sharonfort,2020-04-15 14:12:21.605531,2025-01-08 16:12:59.540175
23,Alexistown,2020-06-08 05:28:05.091004,2025-01-17 16:15:27.075320
24,Port Paulbury,2021-04-12 11:34:18.416590,2025-01-24 04:39:12.311084
25,Ivanchester,2023-12-18 20:08:55.516299,2025-01-18 02:55:20.363963
26,Lake Stephanieland,2024-02-26 04:16:50.110012,2025-02-01 08:42:35.766166
27,North Allison,2020-12-13 00:35:35.060067,2025-01-31 23:15:35.070071
28,Whiteheadbury,2020-10-17 18:11:49.601187,2025-01-03 16:44:01.640360
29,Ponceview,2021-01-23 10:04:56.637073,2025-01-31 23:21:24.515366
30,East Krista,2020-09-25 17:17:47.885779,2025-01-11 07:40:10.107948
31,Michaelhaven,2022-05-19 05:20:30.785350,2025-01-03 20:26:22.737381
32,Michaelside,2022-03-05 16:03:32.959667,2025-01-28 14:43:34.589378
33,New Jennafort,2022-10-02 13:49:01.968588,2025-01-12 00:14:08.887353
34,Port Deanna,2020-07-16 07:32:46.049983,2025-01-23 02:45:15.727334
35,Bennettmouth,2023-01-31 03:32:16.452846,2025-02-02 00:07:39.459329
36,Lake Courtneyville,2020-07-24 07:56:43.740834,2025-01-23 05:49:15.104146
37,North Michael,2021-05-04 17:01:49.775369,2025-01-29 22:18:02.884959
38,East David,2025-01-21 14:45:22.780008,2025-01-26 13:45:06.507942
39,Amandaland,2020-01-02 21:32:11.519569,2025-01-14 03:44:36.612668
40,North Anthonyberg,2020-05-10 20:14:43.055638,2025-01-14 02:27:35.158359
41,East Courtney,2022-10-13 13:31:06.701097,2025-01-15 02:29:00.962266
42,Derekside,2022-08-07 17:22:21.893282,2025-02-01 22:13:04.462574
43,Oliverport,2023-05-09 07:49:47.257102,2025-01-26 04:05:59.870361
44,South Carol,2021-11-10 14:44:01.488481,2025-01-09 19:43:00.226451
45,Port Josephtown,2024-08-13 20:59:52.404871,2025-01-17 01:16:36.289086
46,Lake Lisamouth,2024-02-18 02:47:41.738552,2025-01-01 09:58:29.153966
47,South Patricia,2023-11-26 02:12:28.952276,2025-02-02 21:15:43.893418
48,Oliviaberg,2023-08-09 10:04:29.589163,2025-01-09 12:06:15.154115
49,Williamstad,2024-09-30 15:52:02.297473,2025-01-24 10:07:42.308584
50,Ericton,2022-07-04 10:05:40.982399,2025-01-14 05:33:09.848831
